k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi21,Phi22,Phi23,Phi24,Phi31,Phi32,Phi33,Phi34,Phi41,Phi42,Phi43,Phi44,Phi51,Phi52,Phi53,Phi54,Phi61,Phi62,Phi63,Phi64,Phi71,Phi72,Phi73,Phi74,Phi81,Phi82,Phi83,Phi84,Phi91,Phi92,Phi93,Phi94
0.67013,1,1,1,1,1,1,1,1,1,51.858,278.84,458.56,610.49,680.63,910.99,943.74,1203.1,1260.5,0.54832,-0.29562,-0.29551,0.5478,-0.32154,0.025469,0.034914,-0.32293,0.20519,0.43819,-0.425,-0.21565,0.0010545,0.0013797,-0.0026779,-0.0012134,0.085398,0.40967,0.43494,0.11225,-0.0052178,-0.012709,-0.00055654,0.002312,0.039014,0.1025,-0.0068888,0.015443,-0.00093708,-0.002993,-0.0015331,-5.425e-05,-0.12946,-0.45245,-0.47528,-0.090231
0.94924,1,1,1,1,1,1,1,1,1,51.866,279.68,461.52,613.79,688.01,921.41,959.37,1225.3,1280.4,-0.54814,0.29558,0.29561,-0.54789,-0.32314,0.030877,0.032091,-0.32342,0.214,0.43324,-0.43167,-0.21534,0.00053374,0.0014909,-0.0015098,-0.00082195,0.10812,0.42978,0.43095,0.11047,0.0038821,0.010692,0.00056983,-0.0024484,-0.0023988,0.055925,-0.035977,0.0097415,0.0023091,0.0096026,0.0050846,0.00026406,-0.078796,-0.4387,-0.48879,-0.09459
1.4953,1,1,1,1,1,1,1,1,1,51.874,280.49,464.31,616.56,694.92,929.64,974.47,1242.6,1300.7,0.54794,-0.29554,-0.29571,0.54798,0.32434,-0.036098,-0.029355,0.32384,-0.22139,-0.42811,0.43784,0.21503,0.00023922,0.0015123,-0.00083853,-0.00060048,0.12752,0.44737,0.42661,0.10869,-0.0036335,-0.010477,-0.0010672,0.0024417,-0.040133,0.010154,-0.06438,0.0041877,0.0015811,0.012212,0.0049943,-0.00017757,0.029165,0.41844,0.5002,0.098835
0.8411,1,1,1,1,1,1,1,1,1,51.864,279.42,460.59,612.79,685.69,918.31,954.39,1218.7,1273.9,-0.5482,0.2956,0.29558,-0.54786,-0.32266,0.029162,0.032988,-0.32327,0.21133,0.43485,-0.42959,-0.21544,0.00067179,0.0014672,-0.0018207,-0.00092659,-0.10117,-0.4236,-0.43227,-0.11104,-0.0041465,-0.011087,-0.00048536,0.0024308,-0.010629,-0.070901,0.026658,-0.011564,-0.0021321,-0.0078465,-0.0042669,-0.00025501,-0.095185,-0.44385,-0.48463,-0.093193
0.87261,1,1,1,1,1,1,1,1,1,51.864,279.5,460.88,613.11,686.42,919.31,955.95,1220.8,1275.9,0.54818,-0.29559,-0.29559,0.54787,-0.32281,0.0297,0.032707,-0.32331,0.21218,0.43435,-0.43025,-0.21541,0.00062595,0.0014757,-0.0017175,-0.00089187,-0.10338,-0.42556,-0.43186,-0.11086,0.0040502,0.010942,0.00050563,-0.0024383,0.0065189,0.066213,-0.029578,0.010993,-0.0022142,-0.008442,-0.004564,-0.00026523,0.090058,0.44231,0.48595,0.093631
2.0493,1,1,1,1,1,1,1,1,1,51.879,280.91,465.76,617.84,698.44,933.28,982.26,1250,1308,0.54783,-0.29552,-0.29576,0.54803,0.32481,-0.038856,-0.027906,0.32405,-0.22473,-0.42528,0.44098,0.21486,0.00014725,0.0015161,-0.00059827,-0.00053222,-0.13646,-0.45584,-0.42413,-0.10773,-0.0037095,-0.010801,-0.001407,0.0024538,0.058086,0.013448,0.079088,-0.001275,0.0007783,0.012238,0.003592,-0.00065964,-0.00024097,-0.0023943,-0.0019889,-0.00022975
0.65222,1,1,1,1,1,1,1,1,1,51.857,278.77,458.29,610.17,679.96,909.95,942.36,1200.9,1258.8,0.54834,-0.29563,-0.2955,0.54779,-0.32138,0.024984,0.035167,-0.32289,-0.20435,-0.43861,0.42439,0.21567,-0.0011146,-0.0013645,0.0028113,0.0012578,0.083253,0.40778,0.43528,0.11241,-0.0054216,-0.013012,-0.00059983,0.0022858,-0.042747,-0.10656,0.0043311,-0.015946,0.00070878,0.0022996,0.0011232,1.7664e-05,-0.13381,-0.45333,-0.47402,-0.089849
1.2545,1,1,1,1,1,1,1,1,1,51.872,280.21,463.35,615.64,692.55,926.97,969.26,1237.1,1293.6,0.54801,-0.29556,-0.29567,0.54795,-0.32397,0.034282,0.030308,-0.3237,0.21896,0.42993,-0.43573,-0.21514,0.0003223,0.0015111,-0.0010316,-0.00066229,0.12111,0.44147,0.42817,0.10932,-0.0036487,-0.010412,-0.00086646,0.0024469,-0.027453,0.026013,-0.05454,0.0061149,0.0020031,0.01176,0.0054662,5.6163e-05,-0.046182,-0.42625,-0.49649,-0.097369
0.82194,1,1,1,1,1,1,1,1,1,51.863,279.36,460.4,612.58,685.22,917.67,953.38,1217.3,1272.6,-0.54821,0.2956,0.29557,-0.54786,-0.32256,0.028816,0.033169,-0.32324,-0.21077,-0.43517,0.42916,0.21546,-0.00070243,-0.0014611,0.0018897,0.00094976,-0.099735,-0.42233,-0.43253,-0.11115,-0.0042152,-0.011192,-0.00047577,0.0024249,0.013271,0.073899,-0.024789,0.01193,0.0020665,0.0074454,0.0040589,0.00024523,0.098459,0.4448,0.48378,0.092913
0.63849,1,1,1,1,1,1,1,1,1,51.857,278.71,458.07,609.92,679.42,909.11,941.26,1199.1,1257.4,0.54835,-0.29563,-0.29549,0.54779,-0.32125,0.024595,0.03537,-0.32285,-0.20367,-0.43895,0.4239,0.21569,-0.0011645,-0.0013517,0.0029219,0.0012945,-0.081525,-0.40626,-0.43554,-0.11253,0.0055967,0.013272,0.00064123,-0.0022629,-0.045731,-0.1098,0.0022917,-0.016348,-0.00051685,-0.0017431,-0.00079331,1.2212e-05,-0.13727,-0.454,-0.47301,-0.089544
