k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,Phi11,Phi12,Phi13,Phi14,Phi21,Phi22,Phi23,Phi24,Phi31,Phi32,Phi33,Phi34,Phi41,Phi42,Phi43,Phi44
1.0272,1,1,1,1,1,1,1,1,1,51.821,142.87,279.83,462.08,-0.62154,0.33646,0.33618,-0.62246,-0.49301,0.50658,-0.50701,0.49322,-0.71033,0.043678,0.049442,-0.70077,0.31346,0.63,-0.63631,-0.31616
0.9417,1,1,1,1,1,1,1,1,1,51.818,142.84,279.65,461.46,-0.62158,0.33647,0.33615,-0.62244,-0.49319,0.50638,-0.50705,0.4932,-0.70973,0.040275,0.049738,-0.70156,0.31126,0.63224,-0.63496,-0.31658
0.90469,1,1,1,1,1,1,1,1,1,51.817,142.83,279.56,461.16,-0.6216,0.33647,0.33614,-0.62243,-0.49329,0.50627,-0.50707,0.49318,-0.71019,0.037729,0.049351,-0.70126,0.31017,0.63332,-0.63431,-0.31679
0.37102,1,1,1,1,1,1,1,1,1,51.773,142.38,276.65,451,-0.62233,0.33637,0.33555,-0.62206,-0.49529,0.50411,-0.50727,0.4932,-0.71112,-0.048785,0.025551,-0.70091,0.26669,0.66841,-0.61354,-0.32506
1.1662,1,1,1,1,1,1,1,1,1,51.825,142.91,280.07,462.91,-0.62149,0.33645,0.33622,-0.6225,-0.49286,0.50678,-0.50697,0.4932,-0.71003,0.047733,0.048229,-0.70089,0.3163,0.62699,-0.63815,-0.31561
1.0911,1,1,1,1,1,1,1,1,1,51.823,142.89,279.95,462.49,-0.62151,0.33646,0.3362,-0.62248,-0.49292,0.50668,-0.50699,0.49321,-0.71063,0.044936,0.0484,-0.70046,0.31486,0.62853,-0.63721,-0.31588
1.177,1,1,1,1,1,1,1,1,1,51.825,142.92,280.09,462.97,-0.62148,0.33645,0.33623,-0.6225,-0.49285,0.50679,-0.50697,0.4932,-0.70995,0.048197,0.048277,-0.70094,0.31649,0.62678,-0.63828,-0.31557
0.6065,1,1,1,1,1,1,1,1,1,51.801,142.66,278.54,457.54,-0.62183,0.33645,0.33596,-0.6223,-0.49476,0.50502,-0.50719,0.49287,-0.71081,0.015581,0.049272,-0.70148,0.29607,0.64624,-0.62663,-0.31947
1.3827,1,1,1,1,1,1,1,1,1,51.829,142.96,280.36,463.9,-0.62142,0.33643,0.33627,-0.62255,-0.49277,0.50693,-0.50696,0.49314,-0.71061,0.052953,0.047277,-0.69999,0.31953,0.62338,-0.64038,-0.31498
1.1718,1,1,1,1,1,1,1,1,1,51.825,142.91,280.08,462.94,-0.62149,0.33645,0.33623,-0.6225,-0.49285,0.50678,-0.50697,0.4932,-0.70998,0.047975,0.048253,-0.70092,0.3164,0.62688,-0.63822,-0.31559
1.3697,1,1,1,1,1,1,1,1,1,51.829,142.96,280.34,463.85,-0.62143,0.33644,0.33627,-0.62254,-0.49278,0.50692,-0.50696,0.49315,-0.71057,0.052807,0.047426,-0.70004,0.31937,0.62357,-0.64026,-0.31501
0.79644,1,1,1,1,1,1,1,1,1,51.812,142.78,279.27,460.14,-0.62166,0.33647,0.33609,-0.62239,-0.49372,0.50588,-0.50714,0.49309,-0.70974,0.033307,0.050852,-0.70183,0.30636,0.63701,-0.6321,-0.31752
1.2745,1,1,1,1,1,1,1,1,1,51.827,142.94,280.22,463.44,-0.62145,0.33644,0.33625,-0.62252,-0.4928,0.50687,-0.50696,0.49318,-0.70996,0.051488,0.048382,-0.70069,0.31806,0.62505,-0.63934,-0.31526
1.3555,1,1,1,1,1,1,1,1,1,51.829,142.96,280.33,463.79,-0.62143,0.33644,0.33627,-0.62254,-0.49278,0.50692,-0.50696,0.49315,-0.7105,0.052654,0.047594,-0.7001,0.31919,0.62378,-0.64013,-0.31504
1.1224,1,1,1,1,1,1,1,1,1,51.824,142.9,280,462.67,-0.6215,0.33645,0.33621,-0.62249,-0.49289,0.50673,-0.50698,0.49321,-0.71043,0.045933,0.048178,-0.70061,0.31548,0.62786,-0.63761,-0.31576
0.32205,1,1,1,1,1,1,1,1,1,51.763,142.27,275.82,448.56,-0.62252,0.3363,0.33539,-0.622,-0.49608,0.50325,-0.50749,0.49305,-0.70949,-0.11732,-0.029686,-0.69425,0.25451,0.67617,-0.60896,-0.32739
0.94934,1,1,1,1,1,1,1,1,1,51.819,142.85,279.67,461.52,-0.62157,0.33647,0.33616,-0.62244,-0.49317,0.5064,-0.50705,0.4932,-0.70969,0.040764,0.049817,-0.70156,0.31147,0.63202,-0.63509,-0.31654
1.1512,1,1,1,1,1,1,1,1,1,51.824,142.91,280.05,462.83,-0.62149,0.33645,0.33622,-0.6225,-0.49287,0.50676,-0.50697,0.49321,-0.71016,0.047085,0.048177,-0.70081,0.31603,0.62728,-0.63797,-0.31566
1.0838,1,1,1,1,1,1,1,1,1,51.823,142.89,279.93,462.44,-0.62152,0.33646,0.3362,-0.62248,-0.49293,0.50667,-0.50699,0.49322,-0.71064,0.044748,0.048488,-0.70045,0.31471,0.62869,-0.63711,-0.31591
1.2888,1,1,1,1,1,1,1,1,1,51.827,142.94,280.24,463.51,-0.62145,0.33644,0.33625,-0.62253,-0.4928,0.50688,-0.50696,0.49317,-0.71005,0.051771,0.048289,-0.70058,0.31827,0.62481,-0.63949,-0.31522
1.0132,1,1,1,1,1,1,1,1,1,51.821,142.87,279.8,461.99,-0.62155,0.33646,0.33618,-0.62246,-0.49303,0.50655,-0.50702,0.49321,-0.71016,0.043395,0.049664,-0.70095,0.31312,0.63034,-0.6361,-0.31622
