k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi15,Phi21,Phi22,Phi23,Phi24,Phi25,Phi31,Phi32,Phi33,Phi34,Phi35,Phi41,Phi42,Phi43,Phi44,Phi45,Phi51,Phi52,Phi53,Phi54,Phi55,Phi61,Phi62,Phi63,Phi64,Phi65,Phi71,Phi72,Phi73,Phi74,Phi75,Phi81,Phi82,Phi83,Phi84,Phi85,Phi91,Phi92,Phi93,Phi94,Phi95
1.1706,1,1,1,1,1,1,1,1,1,51.87,142.91,280.09,462.93,501.26,615.24,691.52,925.76,967,-0.54804,0.14027,0.4338,0.13493,-0.54793,-0.43358,0.45756,0.00028214,-0.45533,0.43382,0.32379,-0.37295,0.508,-0.3786,0.32364,0.21787,-0.0024028,0.0039533,0.01044,-0.21519,1.7279e-05,1.5321e-05,-6.3701e-06,-2.6726e-05,-1.2223e-05,0.00036401,0.00085193,-0.0001196,-0.0024868,-0.00069359,0.11824,0.38058,-0.50608,0.3763,0.10959,0.0036753,0.022307,-0.0058417,-0.02527,-0.0024495,-0.021839,-0.50129,0.0084368,0.49696,0.0069452
0.53776,1,1,1,1,1,1,1,1,1,51.852,142.6,278.19,456.18,500.86,607.58,674.7,901.34,931.81,0.54846,-0.14055,-0.43363,-0.13476,0.54773,0.4343,-0.4574,0.0017759,0.45382,-0.43307,0.32008,-0.36237,0.50416,-0.37908,0.32252,-0.19754,-0.033936,0.022248,-0.023637,0.21587,7.8613e-05,-1.7487e-05,1.12e-05,7.3967e-05,-4.3067e-06,-0.0016718,0.001071,-0.0018154,0.004533,0.0016607,0.066101,0.41885,-0.49439,0.34686,0.11363,0.0075977,0.01023,-0.0095571,-0.01066,-0.0019828,0.07145,-0.45664,-0.076649,0.49351,0.019786
0.84791,1,1,1,1,1,1,1,1,1,51.864,142.81,279.43,460.65,501.11,612.86,685.86,918.54,954.73,-0.54819,0.14037,0.43374,0.13487,-0.54786,-0.43387,0.45751,-0.00043685,-0.45481,0.43356,-0.3227,0.36936,-0.50673,0.37878,-0.32328,0.21152,0.0099689,-0.0049581,0.014959,-0.21543,3.522e-06,-2.0678e-05,9.1976e-06,4.7732e-05,8.3517e-06,0.00066141,0.00048561,0.00028647,-0.0029929,-0.00091874,0.10166,0.39468,-0.50277,0.3665,0.111,0.004124,0.019843,-0.0061956,-0.022485,-0.0024326,0.0097158,-0.48889,-0.021537,0.49581,0.011437
1.4793,1,1,1,1,1,1,1,1,1,51.874,142.98,280.47,464.26,501.36,616.51,694.78,929.49,974.17,0.54794,-0.14021,-0.43384,-0.13496,0.54798,0.43338,-0.45759,-0.00071426,0.45563,-0.43397,0.32432,-0.37504,0.50873,-0.37848,0.32384,0.22125,-0.0096262,0.0091554,0.007781,-0.21504,-1.9341e-05,-1.2266e-05,6.8934e-06,8.132e-06,7.6899e-06,-0.00024352,-0.0009695,0.00026556,0.002277,0.00060367,0.12716,0.37191,-0.50767,0.38183,0.10873,0.0036328,0.023106,-0.0058836,-0.02618,-0.0024419,0.039415,0.50685,-0.026078,-0.49751,-0.004299
1.3928,1,1,1,1,1,1,1,1,1,51.873,142.96,280.38,463.94,501.34,616.21,694,928.62,972.45,-0.54797,0.14023,0.43383,0.13495,-0.54797,-0.43343,0.45758,0.00060916,-0.45556,0.43393,-0.3242,0.37454,-0.50856,0.37851,-0.32379,0.22046,-0.0078854,0.0079017,0.0084233,-0.21507,1.9798e-05,1.2811e-05,-6.4346e-06,-1.3255e-05,-9.6015e-06,-0.00026934,-0.00094588,0.0002352,0.002322,0.00062281,-0.12507,-0.37402,0.50731,-0.38051,-0.10894,-0.0036324,-0.022943,0.0058608,0.025992,0.0024433,-0.035262,-0.50563,0.021829,0.49739,0.0049377
1.0174,1,1,1,1,1,1,1,1,1,51.868,142.87,279.82,462.01,501.2,614.3,689.24,922.97,962.03,-0.5481,0.14031,0.43378,0.1349,-0.54791,-0.43371,0.45754,-1.1183e-05,-0.45512,0.43371,-0.32337,0.3715,-0.50749,0.37867,-0.32349,-0.21538,-0.0025948,-0.00035401,-0.01227,0.21529,1.0934e-05,1.7827e-05,-7.3233e-06,-3.6392e-05,-1.1672e-05,-0.00046925,-0.00073307,-1.7714e-05,0.0026684,0.00077306,0.11172,0.38639,-0.50483,0.37238,0.11016,0.0037866,0.021507,-0.0059078,-0.024373,-0.0024514,-0.0092494,-0.49669,-0.003737,0.49652,0.0087681
0.77399,1,1,1,1,1,1,1,1,1,51.862,142.77,279.22,459.89,501.06,612.02,683.95,915.89,950.69,0.54824,-0.1404,-0.43372,-0.13485,0.54784,0.43396,-0.4575,0.00067131,0.45463,-0.43348,0.32229,-0.36816,0.5063,-0.37884,0.32315,-0.20926,-0.014087,0.0079255,-0.016456,0.21551,-1.3671e-05,2.155e-05,-1.014e-05,-5.3064e-05,-5.9617e-06,0.00079,0.00030475,0.00047466,-0.0032041,-0.0010158,0.095834,0.39914,-0.50151,0.36318,0.11146,0.0044296,0.018632,-0.0064803,-0.021086,-0.0024042,0.02041,-0.48404,-0.031347,0.49541,0.012913
0.87399,1,1,1,1,1,1,1,1,1,51.865,142.82,279.5,460.89,501.12,613.12,686.46,919.35,956.02,-0.54818,0.14036,0.43375,0.13487,-0.54787,-0.43385,0.45752,-0.00036227,-0.45486,0.43359,-0.32282,0.36974,-0.50687,0.37876,-0.32332,-0.21221,-0.0086672,0.0040202,-0.014485,0.21541,-5.9987e-07,2.0286e-05,-8.8706e-06,-4.592e-05,-9.0592e-06,0.00062406,0.00053616,0.00023285,-0.0029306,-0.00089044,-0.10347,-0.39324,0.50315,-0.36755,-0.11085,-0.0040464,-0.020182,0.0061255,0.022873,0.0024386,-0.0063456,0.49035,0.018414,-0.49594,-0.010968
0.85227,1,1,1,1,1,1,1,1,1,51.864,142.81,279.45,460.69,501.11,612.91,685.96,918.68,954.95,-0.54819,0.14037,0.43374,0.13487,-0.54786,-0.43387,0.45751,-0.00042412,-0.45482,0.43356,-0.32272,0.36942,-0.50676,0.37878,-0.32328,0.21164,0.0097463,-0.0047977,0.014878,-0.21543,3.0122e-06,-2.0615e-05,9.1425e-06,4.7427e-05,8.475e-06,0.00065492,0.00049447,0.00027711,-0.0029821,-0.00091382,-0.10197,-0.39443,0.50284,-0.36668,-0.11098,0.0041101,0.019902,-0.006183,-0.022553,-0.0024338,-0.0091392,0.48914,0.021004,-0.49584,-0.011357
1.1346,1,1,1,1,1,1,1,1,1,51.87,142.91,280.03,462.74,501.25,615.04,691.03,925.18,965.94,-0.54805,0.14028,0.4338,0.13492,-0.54793,-0.43361,0.45756,0.00021909,-0.45528,0.43379,0.3237,-0.37264,0.5079,-0.37861,0.32361,0.21735,-0.0013346,0.0031841,0.010832,-0.21521,-1.6206e-05,-1.5867e-05,6.521e-06,2.8968e-05,1.2285e-05,-0.00038493,-0.00082946,9.3017e-05,0.0025231,0.00070933,0.11687,0.38183,-0.50582,0.37546,0.10971,0.0036926,0.022156,-0.0058485,-0.025101,-0.0024505,-0.019172,-0.50035,0.0058303,0.49687,0.0073355
