t,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi15,Phi21,Phi22,Phi23,Phi24,Phi25,Phi31,Phi32,Phi33,Phi34,Phi35,Phi41,Phi42,Phi43,Phi44,Phi45,Phi51,Phi52,Phi53,Phi54,Phi55,Phi61,Phi62,Phi63,Phi64,Phi65,Phi71,Phi72,Phi73,Phi74,Phi75,Phi81,Phi82,Phi83,Phi84,Phi85,Phi91,Phi92,Phi93,Phi94,Phi95,
21,1,1,1,1,1,1,1,1,1,1,52.785,137.23,286.56,470.55,569.41,639.74,672.79,911.75,888.46,-0.62148,0.14562,0.47349,0.14681,-0.58892,-0.50998,0.4924,-5.5632e-05,-0.51359,0.48342,-0.3907,0.41069,-0.59031,0.43921,-0.37056,-0.7247,-0.010015,0.00037508,-0.040458,0.6878,0.2303,0.38694,-0.16791,-0.83952,-0.25347,-0.17229,-0.23271,-0.013067,0.91979,0.26452,-0.15489,-0.49511,0.67885,-0.49872,-0.14602,-0.12183,-0.62633,0.18248,0.74434,0.074352,-0.011527,-0.6897,-0.0077802,0.72384,0.012968
23,1,1,1,1,1,1,1,1,1,1,50.038,137.69,279.85,452.01,514.52,636.12,687.03,936.92,1021.4,-0.62245,0.15355,0.47492,0.1493,-0.58408,-0.5025,0.51083,-5.4896e-05,-0.51387,0.47168,-0.38635,0.42757,-0.58459,0.44103,-0.36285,-0.72803,-0.010592,0.00037735,-0.041272,0.68422,0.22615,0.40005,-0.16513,-0.83713,-0.24648,-0.16969,-0.24132,-0.012889,0.91991,0.25799,-0.15223,-0.51232,0.66816,-0.49772,-0.14211,-0.11835,-0.64056,0.17751,0.7342,0.07152,-0.011154,-0.70268,-0.0075398,0.71127,0.012426
25,1,1,1,1,1,1,1,1,1,1,55.686,142.9,269.09,495.56,456.46,630.2,718.28,956.98,895.4,-0.61404,0.15015,0.47784,0.13875,-0.59399,-0.50769,0.51158,-5.6569e-05,-0.48907,0.49127,-0.38695,0.42448,-0.59716,0.4161,-0.37464,-0.71764,-0.01035,0.00037938,-0.038324,0.69528,0.23537,0.41271,-0.17529,-0.82074,-0.26445,-0.17809,-0.25104,-0.013797,0.90948,0.27913,-0.15325,-0.51122,0.68603,-0.47199,-0.14748,-0.12248,-0.65709,0.18737,0.71575,0.0763,-0.011539,-0.72055,-0.0079554,0.69314,0.013252
27,1,1,1,1,1,1,1,1,1,1,49.783,140.91,284.54,483.87,503.88,530.44,671.98,974.16,1011.8,-0.6179,0.14952,0.4745,0.14478,-0.59139,-0.5058,0.50434,-5.5615e-05,-0.50527,0.48426,-0.38753,0.42067,-0.59017,0.43213,-0.37123,-0.72128,-0.010293,0.00037628,-0.039943,0.69141,0.23025,0.39952,-0.16922,-0.8326,-0.25596,-0.17303,-0.24136,-0.013228,0.91631,0.26833,-0.15336,-0.50625,0.67747,-0.4898,-0.14602,-0.12076,-0.64113,0.18231,0.73184,0.074436,-0.011395,-0.70413,-0.0077527,0.70982,0.012948
29,1,1,1,1,1,1,1,1,1,1,52.456,139.72,246.52,426.19,489.19,538.52,700.97,967.4,889.69,-0.60714,0.16558,0.48662,0.14867,-0.58742,-0.48283,0.54261,-5.5409e-05,-0.50406,0.4673,-0.36963,0.45223,-0.58752,0.43076,-0.35795,-0.71747,-0.01154,0.00039065,-0.041523,0.69525,0.21845,0.42719,-0.16756,-0.8255,-0.24548,-0.16538,-0.25999,-0.013195,0.91524,0.25925,-0.14409,-0.53607,0.66433,-0.48093,-0.13869,-0.11195,-0.66989,0.1764,0.70904,0.069759,-0.010488,-0.73043,-0.0074474,0.68276,0.012048
31,1,1,1,1,1,1,1,1,1,1,52.139,144.96,281.27,478.8,526.95,596.08,691.97,943.68,963.94,-0.61573,0.14916,0.4683,0.16127,-0.59441,-0.48936,0.48849,-5.3291e-05,-0.54643,0.47257,-0.37951,0.41242,-0.57241,0.47303,-0.36669,-0.71816,-0.01026,0.00037106,-0.044454,0.69438,0.21252,0.36915,-0.15469,-0.85898,-0.23829,-0.15725,-0.21959,-0.011906,0.93081,0.24596,-0.14952,-0.49412,0.65417,-0.53378,-0.1436,-0.1134,-0.60274,0.16956,0.7682,0.070506,-0.010735,-0.66407,-0.0072334,0.74745,0.012304
33,1,1,1,1,1,1,1,1,1,1,52.657,125.2,292.2,435.2,495.59,591.39,619.83,859.94,959.27,-0.59452,0.15227,0.5159,0.14344,-0.5802,-0.49237,0.51965,-6.1176e-05,-0.50645,0.48067,-0.36384,0.41804,-0.62613,0.41775,-0.35539,-0.71449,-0.010793,0.0004212,-0.040741,0.69837,0.22244,0.40852,-0.18473,-0.82821,-0.25214,-0.16803,-0.24808,-0.014515,0.9162,0.26569,-0.14159,-0.4947,0.70678,-0.46561,-0.13746,-0.11561,-0.64965,0.19722,0.7214,0.072661,-0.010914,-0.71386,-0.008391,0.70004,0.012646
35,1,1,1,1,1,1,1,1,1,1,53.179,146.86,279.31,446.16,531.87,620.55,714.87,974.34,995.51,-0.57564,0.15219,0.47216,0.13313,-0.63626,-0.47774,0.52046,-5.6106e-05,-0.47105,0.52821,-0.36545,0.43342,-0.59444,0.40222,-0.40428,-0.66984,-0.010444,0.00037324,-0.036613,0.74153,0.2259,0.42824,-0.17732,-0.80625,-0.29001,-0.17186,-0.26191,-0.014033,0.8983,0.30778,-0.14522,-0.52376,0.68521,-0.45779,-0.15969,-0.11662,-0.67644,0.18804,0.69755,0.083012,-0.010949,-0.73921,-0.0079565,0.67319,0.014368
37,1,1,1,1,1,1,1,1,1,1,52.67,147.86,277.83,461.12,494.39,646.85,686.68,872.18,988.7,-0.59459,0.16526,0.4873,0.14213,-0.60124,-0.47818,0.54766,-5.6112e-05,-0.4873,0.48369,-0.3648,0.45484,-0.5929,0.41498,-0.3692,-0.70201,-0.011507,0.00039084,-0.039658,0.71097,0.22047,0.43938,-0.17291,-0.81326,-0.25893,-0.16797,-0.26912,-0.013704,0.90743,0.2752,-0.14252,-0.54039,0.67192,-0.46436,-0.14338,-0.11221,-0.68424,0.18078,0.69369,0.073072,-0.010495,-0.7449,-0.0076204,0.66693,0.0126
39,1,1,1,1,1,1,1,1,1,1,53.407,141.59,272.98,434.28,500.86,558.64,672.46,898.91,928.42,-0.56355,0.16333,0.47998,0.14946,-0.63483,-0.44836,0.53545,-5.4676e-05,-0.50696,0.50523,-0.34488,0.44839,-0.58252,0.43529,-0.38884,-0.66268,-0.011327,0.00038342,-0.041537,0.74766,0.20225,0.42031,-0.16485,-0.82779,-0.26463,-0.1524,-0.2546,-0.012921,0.91347,0.27815,-0.13489,-0.53331,0.66088,-0.48762,-0.15117,-0.10436,-0.66361,0.17474,0.71587,0.075713,-0.0097814,-0.72392,-0.0073807,0.68965,0.013082
